proposer,solver,qtype
J.J.Sylvester,G.A.Ogilvie,12
J.J.Sylvester,UNKNOWN,8
J.J.Sylvester,H.J.Woodall,10
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,UNKNOWN,44
J.J.Sylvester,J.Wolstenholme,45
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,F.D.Thomson,79
J.J.Sylvester,F.D.Thomson,79
J.J.Sylvester,UNKNOWN,79
J.J.Sylvester,JamesWhite,79
J.J.Sylvester,UNKNOWN,79
J.J.Sylvester,UNKNOWN,51
J.J.Sylvester,J.J.Sylvester,23
J.J.Sylvester,J.J.Walker,79
J.J.Sylvester,UNKNOWN,22
J.J.Sylvester,UNKNOWN,79
J.J.Sylvester,J.Wolstenholme,10
J.J.Sylvester,W.J.C.Sharp,2
J.J.Sylvester,T.Muir,2
J.J.Sylvester,MorganJenkins,12
J.J.Sylvester,MatthewCollins,12
J.J.Sylvester,UNKNOWN,22
J.J.Sylvester,P.H.Schoute,45
J.J.Sylvester,S.Sircom,79
J.J.Sylvester,W.J.C.Sharp,79
J.J.Sylvester,J.J.Sylvester,64
J.J.Sylvester,A.M.Nash,45
J.J.Sylvester,P.H.Schoute,45
J.J.Sylvester,UNKNOWN,23
J.J.Sylvester,J.J.Walker,17
J.J.Sylvester,JamesDale,17
J.J.Sylvester,S.Sircom,64
J.J.Sylvester,J.J.Sylvester,23
J.J.Sylvester,P.H.Schoute,79
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,UNKNOWN,79
J.J.Sylvester,S.Sircom,64
J.J.Sylvester,S.Sircom,96
J.J.Sylvester,W.J.Greenstreet,96
J.J.Sylvester,UNKNOWN,22
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,W.J.C.Sharp,6
J.J.Sylvester,W.H.Laverty,22
J.J.Sylvester,S.Sircom,6
J.J.Sylvester,W.J.C.Sharp,6
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,R.Hartley,22
J.J.Sylvester,R.Tucker,22
J.J.Sylvester,UNKNOWN,23
J.J.Sylvester,UNKNOWN,22
J.J.Sylvester,J.Wolstenholme,17
J.J.Sylvester,J.J.Walker,6
J.J.Sylvester,W.J.Greenstreet,96
J.J.Sylvester,R.Townsend,17
J.J.Sylvester,UNKNOWN,17
J.J.Sylvester,UNKNOWN,79
J.J.Sylvester,UNKNOWN,17
J.J.Sylvester,UNKNOWN,79
J.J.Sylvester,R.W.Genese,17
J.J.Sylvester,F.D.Thomson,17
J.J.Sylvester,C.R.Rippin,17
J.J.Sylvester,UNKNOWN,17
J.J.Sylvester,UNKNOWN,13
J.J.Sylvester,UNKNOWN,46
J.J.Sylvester,SamuelRoberts,25
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,C.W.Merrifield,23
J.J.Sylvester,J.J.Sylvester,22
J.J.Sylvester,[IncorrectETOCT72],22
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,HughMcColl,13
J.J.Sylvester,J.J.Sylvester,13
J.J.Sylvester,StephenWatson,13
J.J.Sylvester,UNKNOWN,13
J.J.Sylvester,BenjaminWilliamson,48
J.J.Sylvester,R.Townsend,48
J.J.Sylvester,F.D.Thomson,44
J.J.Sylvester,UNKNOWN,45
J.J.Sylvester,J.J.Walker,66
J.J.Sylvester,W.J.C.Sharp,66
J.J.Sylvester,UNKNOWN,13
J.J.Sylvester,UNKNOWN,22
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,W.J.C.Sharp,10
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,AnthonyThrall,8
J.J.Sylvester,UNKNOWN,95
J.J.Sylvester,W.J.C.Sharp,79
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,UNKNOWN,22
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,W.K.Clifford,44
J.J.Sylvester,UNKNOWN,22
J.J.Sylvester,R.Townsend,17
J.J.Sylvester,J.J.Sylvester,17
J.J.Sylvester,J.Wolstenholme,17
J.J.Sylvester,J.Wolstenholme,6
J.J.Sylvester,J.Hopkinson,75
J.J.Sylvester,R.F.Scott,75
J.J.Sylvester,J.Wolstenholme,75
J.J.Sylvester,UNKNOWN,17
J.J.Sylvester,J.J.Sylvester,10
J.J.Sylvester,UNKNOWN,22
J.J.Sylvester,J.Wolstenholme,17
J.J.Sylvester,W.J.C.Sharp,88
J.J.Sylvester,W.J.C.Sharp,22
J.J.Sylvester,UNKNOWN,24
J.J.Sylvester,UNKNOWN,93
J.J.Sylvester,G.S.Carr,44
J.J.Sylvester,N’Importe,44
J.J.Sylvester,W.JC.Sharp,79
J.J.Sylvester,UNKNOWN,88
J.J.Sylvester,G.S.Carr,41
J.J.Sylvester,N’Importe,41
J.J.Sylvester,J.Wolstenholme,41
J.J.Sylvester,J.J.Walker,41
J.J.Sylvester,J.C.Malet,41
J.J.Sylvester,A.Renshaw,41
J.J.Sylvester,UNKNOWN,95
J.J.Sylvester,UNKNOWN,44
J.J.Sylvester,J.L.McKenzie,25
J.J.Sylvester,J.J.Sylvester,25
J.J.Sylvester,UNKNOWN,17
J.J.Sylvester,UNKNOWN,86
J.J.Sylvester,UNKNOWN,79
J.J.Sylvester,W.J.C.Sharp,79
J.J.Sylvester,UNKNOWN,22
J.J.Sylvester,UNKNOWN,24
J.J.Sylvester,J.R.Wilson,44
J.J.Sylvester,ChristineLadd,44
J.J.Sylvester,W.J.C.Sharp,79
J.J.Sylvester,E.B.Elliott,44
J.J.Sylvester,J.J.Sylvester,3
J.J.Sylvester,E.B.Elliott,3
J.J.Sylvester,S.Roberts,3
J.J.Sylvester,J.F.Wilson,3
J.J.Sylvester,C.Leudesdorf,3
J.J.Sylvester,S.A.Renshaw,41
J.J.Sylvester,R.W.Genese,41
J.J.Sylvester,R.F.Davis,41
J.J.Sylvester,H.Murphy,41
J.J.Sylvester,E.Rutter,41
J.J.Sylvester,R.W.Genese,41
J.J.Sylvester,W.J.C.Sharp,44
J.J.Sylvester,J.J.Sylvester,45
J.J.Sylvester,UNKNOWN,48
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,J.J.Sylvester,10
J.J.Sylvester,UNKNOWN,12
J.J.Sylvester,R.Townsend,79
J.J.Sylvester,J.L.McKenzie,79
J.J.Sylvester,UNKNOWN,17
J.J.Sylvester,J.J.Sylvester,88
J.J.Sylvester,J.J.Walker,88
J.J.Sylvester,UNKNOWN,79
J.J.Sylvester,W.J.C.Sharp,45
J.J.Sylvester,ElizabethBlackwood,45
J.J.Sylvester,W.J.C.Sharp,25
J.J.Sylvester,UNKNOWN,79
J.J.Sylvester,UNKNOWN,46
J.J.Sylvester,W.J.C.Sharp,11
J.J.Sylvester,J.Wolstenholme,79
J.J.Sylvester,W.J.C.Sharp,79
J.J.Sylvester,UNKNOWN,44
J.J.Sylvester,H.W.L.Tanner,79
J.J.Sylvester,C.Leudesdorf,79
J.J.Sylvester,S.Forde,79
J.J.Sylvester,JohnGeorgeBirch,79
J.J.Sylvester,A.B.Evans,79
J.J.Sylvester,A.M.Nash,79
J.J.Sylvester,UNKNOWN,23
J.J.Sylvester,W.J.C.Sharp,22
J.J.Sylvester,A.Cayley,98
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,W.J.C.Sharp,46
J.J.Sylvester,G.S.Carr,47
J.J.Sylvester,J.J.Sylvester,47
J.J.Sylvester,W.J.CurranSharp,41
J.J.Sylvester,W.J.C.Sharp,9
J.J.Sylvester,W.J.C.Sharp,22
J.J.Sylvester,W.J.C.Sharp,66
J.J.Sylvester,W.J.CurranSharp,10
J.J.Sylvester,UNKNOWN,24
J.J.Sylvester,J.Hammond,79
J.J.Sylvester,W.J.C.Sharp,79
J.J.Sylvester,Prof.Casey,79
J.J.Sylvester,J.L.McKenzie,79
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,J.J.Sylvester,51
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,W.J.C.Sharp,98
J.J.Sylvester,A.McMurchy,98
J.J.Sylvester,W.J.CurranSharp,10
J.J.Sylvester,SeptimusTebay,98
J.J.Sylvester,W.J.C.Sharp,23
J.J.Sylvester,W.J.CurranSharp,6
J.J.Sylvester,RobertRawson,6
J.J.Sylvester,W.J.C.Sharp,22
J.J.Sylvester,W.J.C.Sharp,10
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,W.J.CurranSharp,44
J.J.Sylvester,W.J.CurranSharp,17
J.J.Sylvester,W.J.C.Sharp,88
J.J.Sylvester,W.J.CurranSharp,44
J.J.Sylvester,UNKNOWN,79
J.J.Sylvester,UNKNOWN,46
J.J.Sylvester,W.J.C.Sharp,11
J.J.Sylvester,J.Wolstenholme,79
J.J.Sylvester,W.J.C.Sharp,79
J.J.Sylvester,UNKNOWN,44
J.J.Sylvester,H.W.L.Tanner,79
J.J.Sylvester,C.Leudesdorf,79
J.J.Sylvester,S.Forde,79
J.J.Sylvester,JohnGeorgeBirch,79
J.J.Sylvester,A.B.Evans,79
J.J.Sylvester,A.M.Nash,79
J.J.Sylvester,UNKNOWN,23
J.J.Sylvester,W.J.C.Sharp,22
J.J.Sylvester,A.Cayley,98
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,W.J.C.Sharp,46
J.J.Sylvester,G.S.Carr,47
J.J.Sylvester,J.J.Sylvester,47
J.J.Sylvester,W.J.CurranSharp,41
J.J.Sylvester,W.J.C.Sharp,9
J.J.Sylvester,W.J.C.Sharp,22
J.J.Sylvester,W.J.C.Sharp,66
J.J.Sylvester,W.J.CurranSharp,10
J.J.Sylvester,UNKNOWN,24
J.J.Sylvester,J.Hammond,79
J.J.Sylvester,W.J.C.Sharp,79
J.J.Sylvester,Prof.Casey,79
J.J.Sylvester,J.L.McKenzie,79
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,J.J.Sylvester,51
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,W.J.C.Sharp,98
J.J.Sylvester,A.McMurchy,98
J.J.Sylvester,W.J.CurranSharp,10
J.J.Sylvester,SeptimusTebay,98
J.J.Sylvester,W.J.C.Sharp,23
J.J.Sylvester,W.J.CurranSharp,6
J.J.Sylvester,RobertRawson,6
J.J.Sylvester,W.J.C.Sharp,22
J.J.Sylvester,W.J.C.Sharp,10
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,W.J.CurranSharp,44
J.J.Sylvester,W.J.CurranSharp,17
J.J.Sylvester,W.J.C.Sharp,88
J.J.Sylvester,W.J.CurranSharp,44
J.J.Sylvester,W.J.C.Sharp,22
J.J.Sylvester,W.J.C.Sharp,6
J.J.Sylvester,UNKNOWN,62
J.J.Sylvester,W.J.C.Sharp,44
J.J.Sylvester,W.J.C.Sharp,11
J.J.Sylvester,J.J.Sylvester,22
J.J.Sylvester,H.Stabenow,22
J.J.Sylvester,W.J.C.Sharp,22
J.J.Sylvester,H.Stabenow,25
J.J.Sylvester,J.Hammond,25
J.J.Sylvester,W.J.C.Sharp,6
J.J.Sylvester,W.J.C.Sharp(2ndSol),6
J.J.Sylvester,SamuelRoberts,9
J.J.Sylvester,J.J.Sylvester,9
J.J.Sylvester,UNKNOWN,8
J.J.Sylvester,W.J.C.Sharp,22
J.J.Sylvester,SamuelRoberts,44
J.J.Sylvester,J.J.Sylvester,6
J.J.Sylvester,W.R.W.Roberts,79
J.J.Sylvester,S.Sircom,79
J.J.Sylvester,A.M.Nash,79
J.J.Sylvester,W.J.C.Sharp,79
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,W.J.C.Sharp,9
J.J.Sylvester,W.R.W.Roberts,79
J.J.Sylvester,W.J.C.Sharp,79
J.J.Sylvester,A.M.Nash,79
J.J.Sylvester,W.J.C.Sharp,22
J.J.Sylvester,J.J.Walker,17
J.J.Sylvester,J.J.Walker,17
J.J.Sylvester,UNKNOWN,22
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,UNKNOWN,26
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,W.J.C.Sharp,10
J.J.Sylvester,E.Buck,10
J.J.Sylvester,W.J.C.Sharp,25
J.J.Sylvester,E.Buck,25
J.J.Sylvester,W.M.Taylor,25
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,LloydTanner,9
J.J.Sylvester,Dr.Curtis,9
J.J.Sylvester,R.Harley,9
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,G.Heppel,10
J.J.Sylvester,T.R.Terry,10
J.J.Sylvester,J.J.Sylvester,10
J.J.Sylvester,W.J.C.Sharp,10
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,UNKNOWN,23
J.J.Sylvester,W.J.C.Sharp,44
J.J.Sylvester,BelleEaston,44
J.J.Sylvester,UNKNOWN,25
J.J.Sylvester,UNKNOWN,25
J.J.Sylvester,J.J.Sylvester,9
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,J.J.Sylvester,61
J.J.Sylvester,S.Sircom,61
J.J.Sylvester,J.J.Sylvester,9
J.J.Sylvester,T.R.Terry,79
J.J.Sylvester,G.Heppel,79
J.J.Sylvester,J.J.Sylvester,61
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,W.J.C.Sharp,9
J.J.Sylvester,W.J.C.Sharp,10
J.J.Sylvester,W.J.C.Sharp,64
J.J.Sylvester,W.J.CurranSharp,9
J.J.Sylvester,[Samesolution],9
J.J.Sylvester,G.S.Carr,11
J.J.Sylvester,J.J.Sylvester,11
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,W.G.Lax,41
J.J.Sylvester,MargaretT.Meyer,41
J.J.Sylvester,RobertRussell,24
J.J.Sylvester,W.J.C.Sharp,24
J.J.Sylvester,UNKNOWN,25
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,J.J.Sylvester,25
J.J.Sylvester,W.J.C.Sharp,79
J.J.Sylvester,R.Russell,79
J.J.Sylvester,UNKNOWN,44
J.J.Sylvester,UNKNOWN,8
J.J.Sylvester,P.H.Schoute,22
J.J.Sylvester,W.J.C.Sharp,10
J.J.Sylvester,S.Sircom,25
J.J.Sylvester,J.J.Sylvester,43
J.J.Sylvester,W.J.C.Sharp,25
J.J.Sylvester,J.J.Sylvester,25
J.J.Sylvester,UNKNOWN,25
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,S.Sircom,25
J.J.Sylvester,G.B.Mathews,26
J.J.Sylvester,UNKNOWN,44
J.J.Sylvester,UNKNOWN,22
J.J.Sylvester,J.Neuberg,46
J.J.Sylvester,W.J.C.Sharp,46
J.J.Sylvester,J.Neuberg,46
J.J.Sylvester,W.J.C.Sharp,46
J.J.Sylvester,SamuelRoberts,46
J.J.Sylvester,G.B.Mathews,46
J.J.Sylvester,S.Sircom,23
J.J.Sylvester,J.J.Sylvester,75
J.J.Sylvester,W.J.C.Sharp,75
J.J.Sylvester,W.J.C.Sharp,25
J.J.Sylvester,W.J.C.Sharp(2ndSol),25
J.J.Sylvester,S.Sircom,25
J.J.Sylvester,EmilyPerrin,47
J.J.Sylvester,A.Gordon,47
J.J.Sylvester,UNKNOWN,24
J.J.Sylvester,R.F.Davis,22
J.J.Sylvester,G.B.Mathews,22
J.J.Sylvester,UNKNOWN,51
J.J.Sylvester,H.J.Woodall,24
J.J.Sylvester,UNKNOWN,18
J.J.Sylvester,W.J.C.Sharp,18
J.J.Sylvester,G.B.Mathews,23
J.J.Sylvester,W.J.C.Sharp,23
J.J.Sylvester,UNKNOWN,14
J.J.Sylvester,RobertRussell,61
J.J.Sylvester,UNKNOWN,25
J.J.Sylvester,UNKNOWN,22
J.J.Sylvester,J.J.Sylvester,46
J.J.Sylvester,W.J.C.Sharp,46
J.J.Sylvester,UNKNOWN,46
J.J.Sylvester,W.J.C.Sharp,41
J.J.Sylvester,A.R.Johnson,44
J.J.Sylvester,W.J.C.Sharp,44
J.J.Sylvester,A.R.Johnson,44
J.J.Sylvester,Prof.Culley,9
J.J.Sylvester,R.W.D.Christie,9
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,UNKNOWN,44
J.J.Sylvester,A.M.Nash,79
J.J.Sylvester,A.M.Nash,44
J.J.Sylvester,A.M.Nash,44
J.J.Sylvester,UNKNOWN,44
J.J.Sylvester,R.W.Genese,9
J.J.Sylvester,W.S.Foster,9
J.J.Sylvester,W.S.Foster,9
J.J.Sylvester,UNKNOWN,61
J.J.Sylvester,UNKNOWN,23
J.J.Sylvester,W.S.Foster,9
J.J.Sylvester,W.S.Foster,9
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,UNKNOWN,8
J.J.Sylvester,H.J.Woodall,9
J.J.Sylvester,P.H.Schoute,48
J.J.Sylvester,J.Wolstenholme,48
J.J.Sylvester,R.F.Davis,48
J.J.Sylvester,T.Galliers,48
J.J.Sylvester,UNKNOWN,64
J.J.Sylvester,UNKNOWN,64
J.J.Sylvester,J.H.D.Dickson,86
J.J.Sylvester,Prof.Schoute,86
J.J.Sylvester,UNKNOWN,41
J.J.Sylvester,D.Biddle,13
J.J.Sylvester,A.W.Robinson,13
J.J.Sylvester,UNKNOWN,8
J.J.Sylvester,J.J.Barniville,10
J.J.Sylvester,D.Biddle,13
J.J.Sylvester,S.Mukhopadhyay,13
J.J.Sylvester,UNKNOWN,23
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,J.A.H.Johnston,23
J.J.Sylvester,UNKNOWN,23
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,W.J.Johnson,6
J.J.Sylvester,B.Chakravarti,6
J.J.Sylvester,UNKNOWN,96
J.J.Sylvester,H.J.Woodall,10
J.J.Sylvester,UNKNOWN,25
J.J.Sylvester,H.J.Woodall,70
J.J.Sylvester,UNKNOWN,22
J.J.Sylvester,T.Muir,25
J.J.Sylvester,UNKNOWN,25
J.J.Sylvester,UNKNOWN,46
J.J.Sylvester,G.N.Watson,6
J.J.Sylvester,H.J.Woodall,9
J.J.Sylvester,H.J.Woodall,9
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,E.J.Nanson,96
J.J.Sylvester,R.W.D.Christie,9
J.J.Sylvester,H.W.Curjel,23
J.J.Sylvester,K.J.Sanjána,23
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,UNKNOWN,23
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,H.W.Curjel,61
J.J.Sylvester,H.W.Curjel,9
J.J.Sylvester,H.W.Curjel,9
J.J.Sylvester,UNKNOWN,96
J.J.Sylvester,T.Muir,6
J.J.Sylvester,T.W.Chaundy,25
J.J.Sylvester,H.W.Curjel,64
J.J.Sylvester,UNKNOWN,41
J.J.Sylvester,UNKNOWN,41
J.J.Sylvester,UNKNOWN,46
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,H.J.Woodall,41
J.J.Sylvester,SontiV.Ramamurty,41
J.J.Sylvester,UNKNOWN,22
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,H.W.Curjel,22
J.J.Sylvester,H.J.Woodall,51
J.J.Sylvester,UNKNOWN,22
J.J.Sylvester,H.W.Curjel,67
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,UNKNOWN,45
J.J.Sylvester,UNKNOWN,46
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,UNKNOWN,46
J.J.Sylvester,UNKNOWN,44
J.J.Sylvester,UNKNOWN,17
J.J.Sylvester,W.J.Greenstreet,44
J.J.Sylvester,T.W.Chaundy,6
J.J.Sylvester,UNKNOWN,44
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,UNKNOWN,23
J.J.Sylvester,UNKNOWN,41
J.J.Sylvester,UNKNOWN,17
J.J.Sylvester,UNKNOWN,70
J.J.Sylvester,E.J.Nanson,46
J.J.Sylvester,UNKNOWN,66
J.J.Sylvester,UNKNOWN,23
J.J.Sylvester,UNKNOWN,27
J.J.Sylvester,UNKNOWN,24
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,UNKNOWN,66
J.J.Sylvester,J.Hammond,23
J.J.Sylvester,UNKNOWN,8
J.J.Sylvester,R.Knowles,6
J.J.Sylvester,J.E.A.Steggall,6
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,G.N.Bates,9
J.J.Sylvester,H.W.Curjel,9
J.J.Sylvester,M.W.Crofton,64
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,J.Hammond,9
J.J.Sylvester,UNKNOWN,9
J.J.Sylvester,A.M.Nesbitt,8
J.J.Sylvester,R.Tata,8
J.J.Sylvester,A.Cunningham,10
J.J.Sylvester,J.Cullen,23
J.J.Sylvester,H.W.Curjel,9
J.J.Sylvester,UNKNOWN,9
